Order Date,Order ID,Title,Quantity,Amount,Currency,Shipping Paid,Shipping Savings,Non-Member Shipping,Product Image URL,Status
2026-01-17,111-0000000-0000001,LEGO Art Hokusai The Great Wave Building Set,1,155.20,AUD,0.00,9.99,9.99,,Delivered
2026-01-24,111-0000000-0000002,Rechargeable USB-C Desk Lamp with Warm Light,1,38.99,AUD,0.00,9.99,9.99,,Delivered
2026-02-07,111-0000000-0000003,Notebook Pack A5 Dotted Paper for Office Notes,3,56.99,AUD,0.00,9.99,9.99,,Delivered
2026-02-21,111-0000000-0000004,Wireless Mouse Silent Click for Laptop,1,28.50,AUD,0.00,9.99,9.99,,Delivered
2026-03-03,111-0000000-0000005,Amazon Prime Membership Monthly Subscription,1,9.99,AUD,0.00,0.00,0.00,,Paid
2026-03-12,111-0000000-0000006,Vitamin D3 Immune Support Tablets 200 Count,1,24.95,AUD,0.00,9.99,9.99,,Delivered
2026-04-02,111-0000000-0000007,Scivation Xtend BCAA Powder Italian Grape,1,91.62,AUD,0.00,9.99,9.99,,Delivered
2026-04-16,111-0000000-0000008,USB-C Fast Charger 65W Foldable Adapter,1,45.30,AUD,0.00,9.99,9.99,,Delivered
2026-05-05,111-0000000-0000009,Stainless Steel Water Bottle 1L for Gym,1,31.79,AUD,0.00,9.99,9.99,,Delivered
2026-05-09,111-0000000-0000010,Amazon Prime Membership Monthly Subscription,1,9.99,AUD,0.00,0.00,0.00,,Paid
2026-05-19,111-0000000-0000011,Noise Cancelling Earbuds Bluetooth Wireless,1,99.00,AUD,0.00,9.99,9.99,,Delivered
